Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,Vote Centers_ballots,Vote Centers_votes,Vote Centers_under_votes,Vote Centers_over_votes,Vote by Mail_ballots,Vote by Mail_votes,Vote by Mail_under_votes,Vote by Mail_over_votes,
"10001","",1,0,1,1,1986,0.33,1,1,"Governor","",1,1,"BRIAN DAHLE",C,1,"REP",655,194,8,0,95,56,0,0,560,138,8,0,
"10001","",1,0,1,1,1986,0.33,1,1,"Governor","",1,2,"GAVIN NEWSOM",C,2,"DEM",655,453,8,0,95,39,0,0,560,414,8,0,
"10001","",1,0,1,1,1986,0.33,2,2,"Lieutenant Governor","",1,3,"ANGELA E. UNDERWOOD JACOBS",C,3,"REP",655,183,19,0,95,54,2,0,560,129,17,0,
"10001","",1,0,1,1,1986,0.33,2,2,"Lieutenant Governor","",1,4,"ELENI KOUNALAKIS",C,4,"DEM",655,453,19,0,95,39,2,0,560,414,17,0,
"10001","",1,0,1,1,1986,0.33,3,3,"Secretary of State","",1,5,"ROB BERNOSKY",C,5,"REP",655,184,20,0,95,54,2,0,560,130,18,0,
"10001","",1,0,1,1,1986,0.33,3,3,"Secretary of State","",1,6,"SHIRLEY N. WEBER",C,6,"DEM",655,451,20,0,95,39,2,0,560,412,18,0,
"10001","",1,0,1,1,1986,0.33,4,4,"Controller","",1,7,"MALIA M. COHEN",C,7,"DEM",655,429,18,1,95,36,2,0,560,393,16,1,
"10001","",1,0,1,1,1986,0.33,4,4,"Controller","",1,8,"LANHEE J. CHEN",C,8,"REP",655,207,18,1,95,57,2,0,560,150,16,1,
"10001","",1,0,1,1,1986,0.33,5,5,"Treasurer","",1,9,"FIONA MA",C,9,"DEM",655,442,19,0,95,39,0,0,560,403,19,0,
"10001","",1,0,1,1,1986,0.33,5,5,"Treasurer","",1,10,"JACK M. GUERRERO",C,10,"REP",655,194,19,0,95,56,0,0,560,138,19,0,
"10001","",1,0,1,1,1986,0.33,6,6,"Attorney General","",1,11,"ROB BONTA",C,11,"DEM",655,443,18,0,95,36,1,0,560,407,17,0,
"10001","",1,0,1,1,1986,0.33,6,6,"Attorney General","",1,12,"NATHAN HOCHMAN",C,12,"REP",655,194,18,0,95,58,1,0,560,136,17,0,
"10001","",1,0,1,1,1986,0.33,7,7,"Insurance Commissioner","",1,13,"ROBERT HOWELL",C,13,"REP",655,193,26,1,95,56,2,0,560,137,24,1,
