Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,Vote Centers_ballots,Vote Centers_votes,Vote Centers_under_votes,Vote Centers_over_votes,Vote by Mail_ballots,Vote by Mail_votes,Vote by Mail_under_votes,Vote by Mail_over_votes,
"10001","",1,0,1,1,1683,0.60,1,1,"President and Vice President","",1,1,"DONALD J. TRUMP / JD VANCE",C,1,"REP",1003,228,24,0,157,57,2,0,846,171,22,0,
"10001","",1,0,1,1,1683,0.60,1,1,"President and Vice President","",1,2,"CLAUDIA DE LA CRUZ / KARINA GARCIA",C,2,"PF",1003,4,24,0,157,0,2,0,846,4,22,0,
"10001","",1,0,1,1,1683,0.60,1,1,"President and Vice President","",1,3,"KAMALA D. HARRIS / TIM WALZ",C,3,"DEM",1003,720,24,0,157,91,2,0,846,629,22,0,
"10001","",1,0,1,1,1683,0.60,1,1,"President and Vice President","",1,4,"ROBERT F. KENNEDY JR. / NICOLE SHANAHAN",C,4,"AI",1003,11,24,0,157,2,2,0,846,9,22,0,
"10001","",1,0,1,1,1683,0.60,1,1,"President and Vice President","",1,5,"CHASE OLIVER / MIKE TER MAAT",C,5,"LIB",1003,3,24,0,157,1,2,0,846,2,22,0,
"10001","",1,0,1,1,1683,0.60,1,1,"President and Vice President","",1,6,"JILL STEIN / RUDOLPH WARE",C,6,"GRN",1003,12,24,0,157,4,2,0,846,8,22,0,
"10001","",1,0,1,1,1683,0.60,1,1,"President and Vice President","",1,317,"PETER SONSKI / LAUREN ONAK",W,8,"",1003,1,24,0,157,0,2,0,846,1,22,0,
"10001","",1,0,1,1,1683,0.60,2,2,"United States Senator (Full Term)","",1,9,"STEVE GARVEY",C,9,"REP",1003,254,44,1,157,59,6,0,846,195,38,1,
"10001","",1,0,1,1,1683,0.60,2,2,"United States Senator (Full Term)","",1,10,"ADAM B. SCHIFF",C,10,"DEM",1003,704,44,1,157,92,6,0,846,612,38,1,
"10001","",1,0,1,1,1683,0.60,3,3,"United States Senator (Partial/Unexpired Term)","",1,7,"STEVE GARVEY",C,11,"REP",1003,257,58,0,157,60,9,0,846,197,49,0,
"10001","",1,0,1,1,1683,0.60,3,3,"United States Senator (Partial/Unexpired Term)","",1,8,"ADAM B. SCHIFF",C,12,"DEM",1003,688,58,0,157,88,9,0,846,600,49,0,
"10001","",1,0,1,1,1683,0.60,4,4,"U.S. Representative, 15th District","",1,11,"KEVIN MULLIN",C,13,"DEM",1003,692,57,0,157,91,10,0,846,601,47,0,
"10001","",1,0,1,1,1683,0.60,4,4,"U.S. Representative, 15th District","",1,12,"ANNA CHENG KRAMER",C,14,"REP",1003,254,57,0,157,56,10,0,846,198,47,0,
"10001","",1,0,1,1,1683,0.60,7,7,"State Senator, 13th District","",1,17,"JOSH BECKER",C,19,"DEM",1003,684,69,0,157,91,8,0,846,593,61,0,
"10001","",1,0,1,1,1683,0.60,7,7,"State Senator, 13th District","",1,18,"ALEXANDER GLEW",C,20,"REP",1003,250,69,0,157,58,8,0,846,192,61,0,
"10001","",1,0,1,1,1683,0.60,9,9,"Member of the State Assembly, 21st District","",1,21,"MARK GILHAM",C,23,"REP",1003,252,64,0,157,57,8,0,846,195,56,0,
"10001","",1,0,1,1,1683,0.60,9,9,"Member of the State Assembly, 21st District","",1,22,"DIANE PAPAN",C,24,"DEM",1003,687,64,0,157,92,8,0,846,595,56,0,
"10001","",1,0,1,1,1683,0.60,12,12,"County Board of Education Member, Trustee Area 5","",1,27,"MAURICE GOODMAN",C,30,"",1003,304,254,0,157,53,38,0,846,251,216,0,
"10001","",1,0,1,1,1683,0.60,12,12,"County Board of Education Member, Trustee Area 5","",1,28,"MIKE O'NEILL",C,31,"",1003,445,254,0,157,66,38,0,846,379,216,0,
"10001","",1,0,1,1,1683,0.60,32,32,"City of Burlingame Member, City Council, District 2 (Full Term)","",1,78,"DESIREE THAYER",C,101,"",1003,452,119,0,157,43,19,0,846,409,100,0,
"10001","",1,0,1,1,1683,0.60,32,32,"City of Burlingame Member, City Council, District 2 (Full Term)","",1,79,"NIRMALA BANDRAPALLI",C,102,"",1003,275,119,0,157,59,19,0,846,216,100,0,
"10001","",1,0,1,1,1683,0.60,32,32,"City of Burlingame Member, City Council, District 2 (Full Term)","",1,80,"HADIA KHOURY",C,103,"",1003,51,119,0,157,11,19,0,846,40,100,0,
"10001","",1,0,1,1,1683,0.60,32,32,"City of Burlingame Member, City Council, District 2 (Full Term)","",1,81,"RACHEL NI",C,104,"",1003,106,119,0,157,25,19,0,846,81,100,0,
"10001","",1,0,1,1,1683,0.60,73,73,"Proposition 2 (Majority Approval Required)","",1,178,"YES",C,244,"",1003,565,78,0,157,79,16,0,846,486,62,0,
"10001","",1,0,1,1,1683,0.60,73,73,"Proposition 2 (Majority Approval Required)","",1,179,"NO",C,245,"",1003,360,78,0,157,62,16,0,846,298,62,0,
"10001","",1,0,1,1,1683,0.60,74,74,"Proposition 3 (Majority Approval Required)","",1,180,"YES",C,246,"",1003,703,79,0,157,99,13,0,846,604,66,0,
"10001","",1,0,1,1,1683,0.60,74,74,"Proposition 3 (Majority Approval Required)","",1,181,"NO",C,247,"",1003,221,79,0,157,45,13,0,846,176,66,0,
"10001","",1,0,1,1,1683,0.60,75,75,"Proposition 4 (Majority Approval Required)","",1,182,"YES",C,248,"",1003,610,78,0,157,82,15,0,846,528,63,0,
"10001","",1,0,1,1,1683,0.60,75,75,"Proposition 4 (Majority Approval Required)","",1,183,"NO",C,249,"",1003,315,78,0,157,60,15,0,846,255,63,0,
"10001","",1,0,1,1,1683,0.60,76,76,"Proposition 5 (Majority Approval Required)","",1,184,"YES",C,250,"",1003,417,87,0,157,56,17,0,846,361,70,0,
"10001","",1,0,1,1,1683,0.60,76,76,"Proposition 5 (Majority Approval Required)","",1,185,"NO",C,251,"",1003,499,87,0,157,84,17,0,846,415,70,0,
"10001","",1,0,1,1,1683,0.60,77,77,"Proposition 6 (Majority Approval Required)","",1,186,"YES",C,252,"",1001,502,103,1,157,65,22,0,844,437,81,1,
"10001","",1,0,1,1,1683,0.60,77,77,"Proposition 6 (Majority Approval Required)","",1,187,"NO",C,253,"",1001,395,103,1,157,70,22,0,844,325,81,1,
"10001","",1,0,1,1,1683,0.60,78,78,"Proposition 32 (Majority Approval Required)","",1,188,"YES",C,254,"",1001,498,84,0,157,66,20,0,844,432,64,0,
"10001","",1,0,1,1,1683,0.60,78,78,"Proposition 32 (Majority Approval Required)","",1,189,"NO",C,255,"",1001,419,84,0,157,71,20,0,844,348,64,0,
"10001","",1,0,1,1,1683,0.60,79,79,"Proposition 33 (Majority Approval Required)","",1,190,"YES",C,256,"",1001,303,93,0,157,49,21,0,844,254,72,0,
"10001","",1,0,1,1,1683,0.60,79,79,"Proposition 33 (Majority Approval Required)","",1,191,"NO",C,257,"",1001,605,93,0,157,87,21,0,844,518,72,0,
"10001","",1,0,1,1,1683,0.60,80,80,"Proposition 34 (Majority Approval Required)","",1,192,"YES",C,258,"",1001,344,134,0,157,58,25,0,844,286,109,0,
"10001","",1,0,1,1,1683,0.60,80,80,"Proposition 34 (Majority Approval Required)","",1,193,"NO",C,259,"",1001,523,134,0,157,74,25,0,844,449,109,0,
"10001","",1,0,1,1,1683,0.60,81,81,"Proposition 35 (Majority Approval Required)","",1,194,"YES",C,260,"",1001,636,102,1,157,93,25,0,844,543,77,1,
"10001","",1,0,1,1,1683,0.60,81,81,"Proposition 35 (Majority Approval Required)","",1,195,"NO",C,261,"",1001,262,102,1,157,39,25,0,844,223,77,1,
"10001","",1,0,1,1,1683,0.60,82,82,"Proposition 36 (Majority Approval Required)","",1,196,"YES",C,262,"",1001,613,84,0,157,102,17,0,844,511,67,0,
"10001","",1,0,1,1,1683,0.60,82,82,"Proposition 36 (Majority Approval Required)","",1,197,"NO",C,263,"",1001,304,84,0,157,38,17,0,844,266,67,0,
"10001","",1,0,1,1,1683,0.60,88,88,"Burlingame School District, Measure GG (2/3 Approval Required)","",1,208,"YES",C,274,"",1001,649,88,0,157,105,13,0,844,544,75,0,
"10001","",1,0,1,1,1683,0.60,88,88,"Burlingame School District, Measure GG (2/3 Approval Required)","",1,209,"NO",C,275,"",1001,264,88,0,157,39,13,0,844,225,75,0,
"10003","",1,0,3,2,1836,0.53,1,1,"President and Vice President","",1,1,"DONALD J. TRUMP / JD VANCE",C,1,"REP",982,205,23,0,221,67,5,0,761,138,18,0,
"10003","",1,0,3,2,1836,0.53,1,1,"President and Vice President","",1,2,"CLAUDIA DE LA CRUZ / KARINA GARCIA",C,2,"PF",982,1,23,0,221,1,5,0,761,0,18,0,
"10003","",1,0,3,2,1836,0.53,1,1,"President and Vice President","",1,3,"KAMALA D. HARRIS / TIM WALZ",C,3,"DEM",982,730,23,0,221,135,5,0,761,595,18,0,
"10003","",1,0,3,2,1836,0.53,1,1,"President and Vice President","",1,4,"ROBERT F. KENNEDY JR. / NICOLE SHANAHAN",C,4,"AI",982,8,23,0,221,5,5,0,761,3,18,0,
"10003","",1,0,3,2,1836,0.53,1,1,"President and Vice President","",1,5,"CHASE OLIVER / MIKE TER MAAT",C,5,"LIB",982,5,23,0,221,1,5,0,761,4,18,0,
"10003","",1,0,3,2,1836,0.53,1,1,"President and Vice President","",1,6,"JILL STEIN / RUDOLPH WARE",C,6,"GRN",982,10,23,0,221,7,5,0,761,3,18,0,
"10003","",1,0,3,2,1836,0.53,1,1,"President and Vice President","",1,317,"PETER SONSKI / LAUREN ONAK",W,8,"",982,0,23,0,221,0,5,0,761,0,18,0,
"10003","",1,0,3,2,1836,0.53,2,2,"United States Senator (Full Term)","",1,9,"STEVE GARVEY",C,9,"REP",982,235,39,0,221,75,11,0,761,160,28,0,
"10003","",1,0,3,2,1836,0.53,2,2,"United States Senator (Full Term)","",1,10,"ADAM B. SCHIFF",C,10,"DEM",982,708,39,0,221,135,11,0,761,573,28,0,
"10003","",1,0,3,2,1836,0.53,3,3,"United States Senator (Partial/Unexpired Term)","",1,7,"STEVE GARVEY",C,11,"REP",982,230,55,1,221,74,13,0,761,156,42,1,
"10003","",1,0,3,2,1836,0.53,3,3,"United States Senator (Partial/Unexpired Term)","",1,8,"ADAM B. SCHIFF",C,12,"DEM",982,696,55,1,221,134,13,0,761,562,42,1,
"10003","",1,0,3,2,1836,0.53,4,4,"U.S. Representative, 15th District","",1,11,"KEVIN MULLIN",C,13,"DEM",982,699,50,0,221,138,15,0,761,561,35,0,
"10003","",1,0,3,2,1836,0.53,4,4,"U.S. Representative, 15th District","",1,12,"ANNA CHENG KRAMER",C,14,"REP",982,233,50,0,221,68,15,0,761,165,35,0,
"10003","",1,0,3,2,1836,0.53,7,7,"State Senator, 13th District","",1,17,"JOSH BECKER",C,19,"DEM",982,672,60,0,221,130,15,0,761,542,45,0,
"10003","",1,0,3,2,1836,0.53,7,7,"State Senator, 13th District","",1,18,"ALEXANDER GLEW",C,20,"REP",982,250,60,0,221,76,15,0,761,174,45,0,
"10003","",1,0,3,2,1836,0.53,9,9,"Member of the State Assembly, 21st District","",1,21,"MARK GILHAM",C,23,"REP",982,243,62,0,221,73,19,0,761,170,43,0,
"10003","",1,0,3,2,1836,0.53,9,9,"Member of the State Assembly, 21st District","",1,22,"DIANE PAPAN",C,24,"DEM",982,677,62,0,221,129,19,0,761,548,43,0,
"10003","",1,0,3,2,1836,0.53,12,12,"County Board of Education Member, Trustee Area 5","",1,27,"MAURICE GOODMAN",C,30,"",982,297,249,0,221,77,52,0,761,220,197,0,
"10003","",1,0,3,2,1836,0.53,12,12,"County Board of Education Member, Trustee Area 5","",1,28,"MIKE O'NEILL",C,31,"",982,436,249,0,221,92,52,0,761,344,197,0,
